Sample Number: 0
x[0] = 0.55061 | u[0] = 0.07395
x[4] = 0.57361 | u[4] = 0.10507
x[5] = 0.57945 | u[5] = 0.10559
x[6] = 0.36689 | u[6] = -0.08040
x[7] = 0.39420 | u[7] = -0.06036
x[8] = 0.35176 | u[8] = -0.09887
x[9] = 0.46350 | u[9] = -0.00534
Sample Number: 590
x[0] = 0.48727 | u[0] = 0.02212
x[1] = 0.52604 | u[1] = 0.05890
x[2] = 0.41519 | u[2] = -0.03983
x[3] = 0.47125 | u[3] = 0.01241
x[4] = 0.57101 | u[4] = 0.10271
x[5] = 0.57683 | u[5] = 0.10325
x[6] = 0.36888 | u[6] = -0.07861
x[7] = 0.39569 | u[7] = -0.05896
x[8] = 0.35421 | u[8] = -0.09664
x[9] = 0.46363 | u[9] = -0.00515
Sample Number: 600
x[0] = 0.48672 | u[0] = 0.02168
x[1] = 0.52458 | u[1] = 0.05760
x[2] = 0.41618 | u[2] = -0.03893
x[3] = 0.47094 | u[3] = 0.01213
x[4] = 0.56846 | u[4] = 0.10040
x[5] = 0.57427 | u[5] = 0.10096
x[6] = 0.37083 | u[6] = -0.07685
x[7] = 0.39715 | u[7] = -0.05758
x[8] = 0.35660 | u[8] = -0.09445
x[9] = 0.46375 | u[9] = -0.00497
Sample Number: 610
x[0] = 0.48618 | u[0] = 0.02125
x[1] = 0.52315 | u[1] = 0.05633
x[2] = 0.41714 | u[2] = -0.03805
x[3] = 0.47064 | u[3] = 0.01186
x[4] = 0.56597 | u[4] = 0.09815
x[5] = 0.57177 | u[5] = 0.09873
x[6] = 0.37274 | u[6] = -0.07513
x[7] = 0.39858 | u[7] = -0.05624
x[8] = 0.35894 | u[8] = -0.09231
x[9] = 0.46388 | u[9] = -0.00479
Sample Number: 620
x[0] = 0.48566 | u[0] = 0.02083
x[1] = 0.52176 | u[1] = 0.05509
x[2] = 0.41808 | u[2] = -0.03718
x[3] = 0.47034 | u[3] = 0.01160
x[4] = 0.56354 | u[4] = 0.09594
x[5] = 0.56932 | u[5] = 0.09655
x[6] = 0.37460 | u[6] = -0.07345
x[7] = 0.39997 | u[7] = -0.05493
x[8] = 0.36123 | u[8] = -0.09022
x[9] = 0.46399 | u[9] = -0.00462
Sample Number: 630
x[0] = 0.48514 | u[0] = 0.02042
x[1] = 0.52039 | u[1] = 0.05387
x[2] = 0.41900 | u[2] = -0.03634
x[3] = 0.47006 | u[3] = 0.01134
x[4] = 0.56116 | u[4] = 0.09379
x[5] = 0.56693 | u[5] = 0.09441
x[6] = 0.37642 | u[6] = -0.07181
x[7] = 0.40133 | u[7] = -0.05365
x[8] = 0.36347 | u[8] = -0.08817
x[9] = 0.46411 | u[9] = -0.00445
Sample Number: 640
x[0] = 0.48463 | u[0] = 0.02001
x[1] = 0.51906 | u[1] = 0.05269
x[2] = 0.41990 | u[2] = -0.03551
x[3] = 0.46977 | u[3] = 0.01109
x[4] = 0.55884 | u[4] = 0.09168
x[5] = 0.56459 | u[5] = 0.09232
x[6] = 0.37820 | u[6] = -0.07020
x[7] = 0.40266 | u[7] = -0.05240
x[8] = 0.36565 | u[8] = -0.08617
x[9] = 0.46422 | u[9] = -0.00428
Sample Number: 650
x[0] = 0.48413 | u[0] = 0.01962
x[1] = 0.51775 | u[1] = 0.05153
x[2] = 0.42078 | u[2] = -0.03470
x[3] = 0.46950 | u[3] = 0.01085
x[4] = 0.55657 | u[4] = 0.08962
x[5] = 0.56230 | u[5] = 0.09028
x[6] = 0.37994 | u[6] = -0.06863
x[7] = 0.40396 | u[7] = -0.05118
x[8] = 0.36779 | u[8] = -0.08422
x[9] = 0.46432 | u[9] = -0.00412
Sample Number: 660
x[0] = 0.48365 | u[0] = 0.01923
x[1] = 0.51647 | u[1] = 0.05040
x[2] = 0.42164 | u[2] = -0.03391
x[3] = 0.46923 | u[3] = 0.01061
x[4] = 0.55435 | u[4] = 0.08761
x[5] = 0.56006 | u[5] = 0.08829
x[6] = 0.38164 | u[6] = -0.06709
x[7] = 0.40523 | u[7] = -0.04998
x[8] = 0.36987 | u[8] = -0.08231
x[9] = 0.46442 | u[9] = -0.00397
Sample Number: 670
x[0] = 0.48317 | u[0] = 0.01885
x[1] = 0.51522 | u[1] = 0.04929
x[2] = 0.42248 | u[2] = -0.03314
x[3] = 0.46897 | u[3] = 0.01038
x[4] = 0.55218 | u[4] = 0.08564
x[5] = 0.55787 | u[5] = 0.08633
x[6] = 0.38330 | u[6] = -0.06559
x[7] = 0.40647 | u[7] = -0.04881
x[8] = 0.37191 | u[8] = -0.08044
x[9] = 0.46452 | u[9] = -0.00382
Sample Number: 680
x[0] = 0.48270 | u[0] = 0.01848
x[1] = 0.51400 | u[1] = 0.04821
x[2] = 0.42331 | u[2] = -0.03238
x[3] = 0.46871 | u[3] = 0.01015
x[4] = 0.55005 | u[4] = 0.08372
x[5] = 0.55573 | u[5] = 0.08443
x[6] = 0.38493 | u[6] = -0.06412
x[7] = 0.40767 | u[7] = -0.04767
x[8] = 0.37391 | u[8] = -0.07861
x[9] = 0.46461 | u[9] = -0.00367
Sample Number: 690
x[0] = 0.48224 | u[0] = 0.01811
x[1] = 0.51281 | u[1] = 0.04715
x[2] = 0.42411 | u[2] = -0.03164
x[3] = 0.46846 | u[3] = 0.00993
x[4] = 0.54798 | u[4] = 0.08185
x[5] = 0.55364 | u[5] = 0.08256
x[6] = 0.38652 | u[6] = -0.06268
x[7] = 0.40886 | u[7] = -0.04656
x[8] = 0.37585 | u[8] = -0.07683
x[9] = 0.46471 | u[9] = -0.00353
Sample Number: 700
x[0] = 0.48179 | u[0] = 0.01776
x[1] = 0.51164 | u[1] = 0.04611
x[2] = 0.42489 | u[2] = -0.03092
x[3] = 0.46821 | u[3] = 0.00971
x[4] = 0.54595 | u[4] = 0.08001
x[5] = 0.55159 | u[5] = 0.08074
x[6] = 0.38807 | u[6] = -0.06128
x[7] = 0.41001 | u[7] = -0.04547
x[8] = 0.37776 | u[8] = -0.07508
x[9] = 0.46479 | u[9] = -0.00339
Sample Number: 710
x[0] = 0.48135 | u[0] = 0.01741
x[1] = 0.51049 | u[1] = 0.04510
x[2] = 0.42566 | u[2] = -0.03021
x[3] = 0.46797 | u[3] = 0.00950
x[4] = 0.54397 | u[4] = 0.07822
x[5] = 0.54959 | u[5] = 0.07896
x[6] = 0.38959 | u[6] = -0.05990
x[7] = 0.41113 | u[7] = -0.04440
x[8] = 0.37962 | u[8] = -0.07338
x[9] = 0.46487 | u[9] = -0.00326
Sample Number: 720
x[0] = 0.48092 | u[0] = 0.01707
x[1] = 0.50938 | u[1] = 0.04411
x[2] = 0.42641 | u[2] = -0.02952
x[3] = 0.46774 | u[3] = 0.00929
x[4] = 0.54203 | u[4] = 0.07647
x[5] = 0.54763 | u[5] = 0.07722
x[6] = 0.39107 | u[6] = -0.05856
x[7] = 0.41223 | u[7] = -0.04336
x[8] = 0.38144 | u[8] = -0.07171
x[9] = 0.46495 | u[9] = -0.00313
Sample Number: 730
x[0] = 0.48050 | u[0] = 0.01673
x[1] = 0.50828 | u[1] = 0.04315
x[2] = 0.42714 | u[2] = -0.02885
x[3] = 0.46751 | u[3] = 0.00909
x[4] = 0.54013 | u[4] = 0.07475
x[5] = 0.54572 | u[5] = 0.07551
x[6] = 0.39252 | u[6] = -0.05724
x[7] = 0.41331 | u[7] = -0.04235
x[8] = 0.38321 | u[8] = -0.07008
x[9] = 0.46503 | u[9] = -0.00300
Sample Number: 740
x[0] = 0.48008 | u[0] = 0.01641
x[1] = 0.50721 | u[1] = 0.04220
x[2] = 0.42785 | u[2] = -0.02819
x[3] = 0.46728 | u[3] = 0.00890
x[4] = 0.53828 | u[4] = 0.07308
x[5] = 0.54385 | u[5] = 0.07385
x[6] = 0.39394 | u[6] = -0.05596
x[7] = 0.41436 | u[7] = -0.04135
x[8] = 0.38495 | u[8] = -0.06849
x[9] = 0.46511 | u[9] = -0.00288
Sample Number: 750
x[0] = 0.47968 | u[0] = 0.01609
x[1] = 0.50617 | u[1] = 0.04128
x[2] = 0.42855 | u[2] = -0.02754
x[3] = 0.46706 | u[3] = 0.00871
x[4] = 0.53647 | u[4] = 0.07144
x[5] = 0.54202 | u[5] = 0.07222
x[6] = 0.39533 | u[6] = -0.05470
x[7] = 0.41538 | u[7] = -0.04038
x[8] = 0.38665 | u[8] = -0.06693
x[9] = 0.46518 | u[9] = -0.00276
Sample Number: 760
x[0] = 0.47928 | u[0] = 0.01577
x[1] = 0.50514 | u[1] = 0.04038
x[2] = 0.42923 | u[2] = -0.02691
x[3] = 0.46684 | u[3] = 0.00852
x[4] = 0.53470 | u[4] = 0.06985
x[5] = 0.54023 | u[5] = 0.07063
x[6] = 0.39668 | u[6] = -0.05347
x[7] = 0.41638 | u[7] = -0.03943
x[8] = 0.38830 | u[8] = -0.06540
x[9] = 0.46524 | u[9] = -0.00264
Sample Number: 770
x[0] = 0.47888 | u[0] = 0.01546
x[1] = 0.50414 | u[1] = 0.03950
x[2] = 0.42990 | u[2] = -0.02629
x[3] = 0.46663 | u[3] = 0.00834
x[4] = 0.53297 | u[4] = 0.06828
x[5] = 0.53848 | u[5] = 0.06907
x[6] = 0.39801 | u[6] = -0.05227
x[7] = 0.41736 | u[7] = -0.03851
x[8] = 0.38992 | u[8] = -0.06392
x[9] = 0.46531 | u[9] = -0.00253
Sample Number: 780
x[0] = 0.47850 | u[0] = 0.01516
x[1] = 0.50316 | u[1] = 0.03863
x[2] = 0.43055 | u[2] = -0.02568
x[3] = 0.46643 | u[3] = 0.00816
x[4] = 0.53128 | u[4] = 0.06676
x[5] = 0.53677 | u[5] = 0.06755
x[6] = 0.39930 | u[6] = -0.05109
x[7] = 0.41831 | u[7] = -0.03760
x[8] = 0.39151 | u[8] = -0.06246
x[9] = 0.46537 | u[9] = -0.00242
Sample Number: 790
x[0] = 0.47812 | u[0] = 0.01487
x[1] = 0.50221 | u[1] = 0.03779
x[2] = 0.43119 | u[2] = -0.02509
x[3] = 0.46622 | u[3] = 0.00799
x[4] = 0.52962 | u[4] = 0.06527
x[5] = 0.53509 | u[5] = 0.06607
x[6] = 0.40057 | u[6] = -0.04994
x[7] = 0.41924 | u[7] = -0.03672
x[8] = 0.39306 | u[8] = -0.06104
x[9] = 0.46543 | u[9] = -0.00231
Sample Number: 800
x[0] = 0.47776 | u[0] = 0.01458
x[1] = 0.50127 | u[1] = 0.03697
x[2] = 0.43181 | u[2] = -0.02452
x[3] = 0.46603 | u[3] = 0.00782
x[4] = 0.52800 | u[4] = 0.06381
x[5] = 0.53345 | u[5] = 0.06461
x[6] = 0.40181 | u[6] = -0.04882
x[7] = 0.42015 | u[7] = -0.03585
x[8] = 0.39457 | u[8] = -0.05965
x[9] = 0.46549 | u[9] = -0.00221
Sample Number: 810
x[0] = 0.47739 | u[0] = 0.01430
x[1] = 0.50035 | u[1] = 0.03616
x[2] = 0.43242 | u[2] = -0.02395
x[3] = 0.46583 | u[3] = 0.00765
x[4] = 0.52642 | u[4] = 0.06238
x[5] = 0.53185 | u[5] = 0.06319
x[6] = 0.40302 | u[6] = -0.04771
x[7] = 0.42104 | u[7] = -0.03501
x[8] = 0.39605 | u[8] = -0.05829
x[9] = 0.46554 | u[9] = -0.00210
Sample Number: 820
x[0] = 0.47704 | u[0] = 0.01402
x[1] = 0.49946 | u[1] = 0.03537
x[2] = 0.43301 | u[2] = -0.02340
x[3] = 0.46564 | u[3] = 0.00749
x[4] = 0.52488 | u[4] = 0.06099
x[5] = 0.53029 | u[5] = 0.06180
x[6] = 0.40420 | u[6] = -0.04664
x[7] = 0.42191 | u[7] = -0.03418
x[8] = 0.39749 | u[8] = -0.05696
x[9] = 0.46559 | u[9] = -0.00201
Sample Number: 830
x[0] = 0.47669 | u[0] = 0.01375
x[1] = 0.49858 | u[1] = 0.03460
x[2] = 0.43359 | u[2] = -0.02286
x[3] = 0.46546 | u[3] = 0.00733
x[4] = 0.52337 | u[4] = 0.05963
x[5] = 0.52875 | u[5] = 0.06044
x[6] = 0.40536 | u[6] = -0.04559
x[7] = 0.42275 | u[7] = -0.03337
x[8] = 0.39890 | u[8] = -0.05566
x[9] = 0.46564 | u[9] = -0.00191
Sample Number: 840
x[0] = 0.47635 | u[0] = 0.01349
x[1] = 0.49772 | u[1] = 0.03385
x[2] = 0.43416 | u[2] = -0.02233
x[3] = 0.46527 | u[3] = 0.00718
x[4] = 0.52189 | u[4] = 0.05830
x[5] = 0.52725 | u[5] = 0.05912
x[6] = 0.40649 | u[6] = -0.04456
x[7] = 0.42358 | u[7] = -0.03259
x[8] = 0.40028 | u[8] = -0.05438
x[9] = 0.46569 | u[9] = -0.00182
Sample Number: 850
x[0] = 0.47601 | u[0] = 0.01323
x[1] = 0.49688 | u[1] = 0.03311
x[2] = 0.43471 | u[2] = -0.02181
x[3] = 0.46510 | u[3] = 0.00703
x[4] = 0.52044 | u[4] = 0.05700
x[5] = 0.52579 | u[5] = 0.05782
x[6] = 0.40759 | u[6] = -0.04355
x[7] = 0.42439 | u[7] = -0.03182
x[8] = 0.40163 | u[8] = -0.05314
x[9] = 0.46573 | u[9] = -0.00173
Sample Number: 860
x[0] = 0.47569 | u[0] = 0.01297
x[1] = 0.49606 | u[1] = 0.03240
x[2] = 0.43525 | u[2] = -0.02130
x[3] = 0.46492 | u[3] = 0.00689
x[4] = 0.51903 | u[4] = 0.05573
x[5] = 0.52436 | u[5] = 0.05655
x[6] = 0.40867 | u[6] = -0.04257
x[7] = 0.42518 | u[7] = -0.03106
x[8] = 0.40294 | u[8] = -0.05193
x[9] = 0.46577 | u[9] = -0.00164
Sample Number: 870
x[0] = 0.47536 | u[0] = 0.01272
x[1] = 0.49526 | u[1] = 0.03169
x[2] = 0.43578 | u[2] = -0.02081
x[3] = 0.46475 | u[3] = 0.00674
x[4] = 0.51765 | u[4] = 0.05449
x[5] = 0.52295 | u[5] = 0.05531
x[6] = 0.40972 | u[6] = -0.04160
x[7] = 0.42595 | u[7] = -0.03033
x[8] = 0.40423 | u[8] = -0.05074
x[9] = 0.46581 | u[9] = -0.00156
Sample Number: 880
x[0] = 0.47505 | u[0] = 0.01248
x[1] = 0.49447 | u[1] = 0.03101
x[2] = 0.43629 | u[2] = -0.02033
x[3] = 0.46458 | u[3] = 0.00660
x[4] = 0.51630 | u[4] = 0.05328
x[5] = 0.52158 | u[5] = 0.05410
x[6] = 0.41075 | u[6] = -0.04066
x[7] = 0.42670 | u[7] = -0.02961
x[8] = 0.40549 | u[8] = -0.04958
x[9] = 0.46585 | u[9] = -0.00148
Sample Number: 890
x[0] = 0.47474 | u[0] = 0.01224
x[1] = 0.49370 | u[1] = 0.03033
x[2] = 0.43680 | u[2] = -0.01985
x[3] = 0.46442 | u[3] = 0.00647
x[4] = 0.51498 | u[4] = 0.05209
x[5] = 0.52024 | u[5] = 0.05291
x[6] = 0.41176 | u[6] = -0.03974
x[7] = 0.42743 | u[7] = -0.02891
x[8] = 0.40672 | u[8] = -0.04845
x[9] = 0.46589 | u[9] = -0.00140
Sample Number: 900
x[0] = 0.47443 | u[0] = 0.01201
x[1] = 0.49295 | u[1] = 0.02968
x[2] = 0.43729 | u[2] = -0.01939
x[3] = 0.46426 | u[3] = 0.00634
x[4] = 0.51369 | u[4] = 0.05093
x[5] = 0.51893 | u[5] = 0.05175
x[6] = 0.41275 | u[6] = -0.03884
x[7] = 0.42815 | u[7] = -0.02822
x[8] = 0.40792 | u[8] = -0.04734
x[9] = 0.46592 | u[9] = -0.00132
Sample Number: 910
x[0] = 0.47414 | u[0] = 0.01178
x[1] = 0.49222 | u[1] = 0.02904
x[2] = 0.43777 | u[2] = -0.01894
x[3] = 0.46410 | u[3] = 0.00621
x[4] = 0.51242 | u[4] = 0.04980
x[5] = 0.51765 | u[5] = 0.05062
x[6] = 0.41371 | u[6] = -0.03796
x[7] = 0.42884 | u[7] = -0.02755
x[8] = 0.40909 | u[8] = -0.04625
x[9] = 0.46595 | u[9] = -0.00124
Sample Number: 920
x[0] = 0.47384 | u[0] = 0.01155
x[1] = 0.49150 | u[1] = 0.02841
x[2] = 0.43824 | u[2] = -0.01849
x[3] = 0.46395 | u[3] = 0.00608
x[4] = 0.51119 | u[4] = 0.04870
x[5] = 0.51639 | u[5] = 0.04951
x[6] = 0.41465 | u[6] = -0.03710
x[7] = 0.42953 | u[7] = -0.02689
x[8] = 0.41024 | u[8] = -0.04519
x[9] = 0.46598 | u[9] = -0.00117
Sample Number: 930
x[0] = 0.47356 | u[0] = 0.01134
x[1] = 0.49079 | u[1] = 0.02779
x[2] = 0.43870 | u[2] = -0.01806
x[3] = 0.46380 | u[3] = 0.00596
x[4] = 0.50998 | u[4] = 0.04761
x[5] = 0.51517 | u[5] = 0.04843
x[6] = 0.41557 | u[6] = -0.03626
x[7] = 0.43019 | u[7] = -0.02625
x[8] = 0.41136 | u[8] = -0.04415
x[9] = 0.46601 | u[9] = -0.00110
Sample Number: 940
x[0] = 0.47328 | u[0] = 0.01112
x[1] = 0.49010 | u[1] = 0.02719
x[2] = 0.43914 | u[2] = -0.01764
x[3] = 0.46365 | u[3] = 0.00584
x[4] = 0.50880 | u[4] = 0.04656
x[5] = 0.51396 | u[5] = 0.04737
x[6] = 0.41647 | u[6] = -0.03543
x[7] = 0.43084 | u[7] = -0.02563
x[8] = 0.41245 | u[8] = -0.04314
x[9] = 0.46604 | u[9] = -0.00103
Sample Number: 950
x[0] = 0.47300 | u[0] = 0.01091
x[1] = 0.48943 | u[1] = 0.02661
x[2] = 0.43958 | u[2] = -0.01722
x[3] = 0.46350 | u[3] = 0.00572
x[4] = 0.50765 | u[4] = 0.04553
x[5] = 0.51279 | u[5] = 0.04633
x[6] = 0.41735 | u[6] = -0.03463
x[7] = 0.43148 | u[7] = -0.02502
x[8] = 0.41352 | u[8] = -0.04215
x[9] = 0.46606 | u[9] = -0.00096
Sample Number: 960
x[0] = 0.47273 | u[0] = 0.01070
x[1] = 0.48877 | u[1] = 0.02604
x[2] = 0.44001 | u[2] = -0.01682
x[3] = 0.46336 | u[3] = 0.00561
x[4] = 0.50652 | u[4] = 0.04452
x[5] = 0.51164 | u[5] = 0.04532
x[6] = 0.41820 | u[6] = -0.03384
x[7] = 0.43210 | u[7] = -0.02442
x[8] = 0.41456 | u[8] = -0.04118
x[9] = 0.46609 | u[9] = -0.00090
Sample Number: 970
x[0] = 0.47246 | u[0] = 0.01050
x[1] = 0.48812 | u[1] = 0.02548
x[2] = 0.44042 | u[2] = -0.01642
x[3] = 0.46322 | u[3] = 0.00550
x[4] = 0.50542 | u[4] = 0.04353
x[5] = 0.51052 | u[5] = 0.04433
x[6] = 0.41904 | u[6] = -0.03307
x[7] = 0.43270 | u[7] = -0.02383
x[8] = 0.41558 | u[8] = -0.04024
x[9] = 0.46611 | u[9] = -0.00083
Sample Number: 980
x[0] = 0.47220 | u[0] = 0.01031
x[1] = 0.48749 | u[1] = 0.02493
x[2] = 0.44083 | u[2] = -0.01604
x[3] = 0.46309 | u[3] = 0.00539
x[4] = 0.50434 | u[4] = 0.04257
x[5] = 0.50942 | u[5] = 0.04337
x[6] = 0.41986 | u[6] = -0.03232
x[7] = 0.43329 | u[7] = -0.02326
x[8] = 0.41658 | u[8] = -0.03931
x[9] = 0.46613 | u[9] = -0.00077
Sample Number: 990
x[0] = 0.47195 | u[0] = 0.01011
x[1] = 0.48687 | u[1] = 0.02439
x[2] = 0.44123 | u[2] = -0.01566
x[3] = 0.46295 | u[3] = 0.00529
x[4] = 0.50328 | u[4] = 0.04162
x[5] = 0.50834 | u[5] = 0.04242
x[6] = 0.42066 | u[6] = -0.03158
x[7] = 0.43387 | u[7] = -0.02271
x[8] = 0.41755 | u[8] = -0.03841
x[9] = 0.46615 | u[9] = -0.00071
